,0,0,0.0,0.0,0
12011700,8424.5,8435.25,8424.0,8426.75,612
12011701,8426.75,8429,8426.0,8426.75,178
12011702,8426.75,8428.75,8425.5,8428.25,131
12011703,8428.25,8430,8428.0,8429.0,129
12011704,8429,8430,8428.75,8429.75,74
12011705,8429.75,8430.5,8429.25,8429.25,68
12011706,8429.25,8430.5,8429.25,8429.75,52
12011707,8429.75,8430,8429.75,8429.75,26
12011708,8429.75,8430.5,8429.75,8430.0,74
12011709,8430,8430,8427.5,8428.25,95
12011710,8428.25,8429,8427.5,8428.25,22
12011711,8428.25,8428.75,8426.25,8428.75,50
12011712,8428.75,8430.5,8428.75,8430.5,70
12011713,8430.5,8430.5,8429.25,8429.5,27
12011714,8429.5,8431,8429.25,8430.75,71
12011715,8430.75,8431,8429.25,8429.25,53
12011716,8429.25,8430.25,8429.0,8429.0,46
12011717,8429,8430.25,8429.0,8430.0,8
12011718,8430,8430.25,8426.75,8426.75,115
12011719,8426.75,8427.5,8425.5,8425.5,72
12011720,8425.5,8426.5,8423.0,8424.25,173
12011721,8424.25,8424.25,8423.0,8424.25,59
12011722,8424.25,8424.25,8422.5,8423.5,74
12011723,8423.5,8423.75,8422.75,8423.5,30
12011724,8423.5,8425.5,8423.25,8425.5,38
12011725,8425.5,8426,8424.75,8424.75,24
12011726,8424.75,8425,8423.5,8423.75,39
12011727,8423.75,8424.75,8423.5,8424.5,48
12011728,8424.5,8424.5,8424.25,8424.25,7
12011729,8424.25,8424.5,8423.25,8423.75,45
12011730,8423.75,8425.25,8423.75,8424.75,42
12011731,8424.75,8425.75,8424.5,8425.75,46
12011732,8425.75,8425.75,8424.75,8425.0,27
12011733,8425,8425,8423.75,8424.0,37
12011734,8424,8425.5,8424.0,8425.0,20
12011735,8425,8425.25,8424.5,8425.0,21
12011736,8425,8425.25,8424.5,8425.0,23
12011737,8425,8425.75,8425.0,8425.75,24
12011738,8425.75,8425.75,8425.0,8425.5,18
12011739,8425.5,8425.5,8424.75,8425.0,19
12011740,8425,8425.25,8424.25,8424.75,25
12011741,8424.75,8425.5,8424.25,8424.25,28
12011742,8424.25,8426.25,8424.25,8426.0,41
12011743,8426,8426,8424.75,8424.75,29
12011744,8424.75,8425,8423.75,8424.75,88
12011745,8424.75,8426.5,8424.75,8425.5,82
12011746,8425.5,8426,8424.5,8425.0,71
12011747,8425,8426.75,8425.0,8426.5,47
12011748,8426.5,8428.75,8426.25,8428.75,103
12011749,8428.75,8430,8428.75,8429.75,136
12011750,8429.75,8430.5,8429.5,8430.5,90
12011751,8430.5,8431.5,8429.5,8431.5,77
12011752,8431.5,8431.5,8430.25,8431.0,57
12011753,8431,8431.5,8430.5,8431.25,61
12011754,8431.25,8431.25,8430.25,8430.5,43
12011755,8430.5,8431,8430.25,8431.0,44
12011756,8431,8431.25,8430.5,8431.0,16
12011757,8431,8431.5,8430.75,8431.5,36
12011758,8431.5,8431.75,8431.0,8431.0,21
12011759,8431,8431.25,8430.0,8431.0,82
12011800,8431,8433,8430.25,8432.5,129
12011801,8432.5,8433.5,8432.0,8433.25,90
12011802,8433.25,8434.25,8433.25,8434.0,108
12011803,8434,8434.75,8433.0,8433.75,104
12011804,8433.75,8435.5,8433.75,8435.25,132
12011805,8435.25,8439.25,8435.25,8438.5,327
12011806,8438.5,8443.75,8437.75,8441.0,501
12011807,8441,8443.5,8440.5,8441.75,197
12011808,8441.75,8444.5,8441.25,8444.0,256
12011809,8444,8445.25,8442.5,8443.75,353
12011810,8443.75,8445,8442.0,8444.25,206
12011811,8444.25,8444.5,8442.75,8443.0,95
12011812,8443,8443.75,8441.75,8442.25,115
12011813,8442.25,8442.75,8441.25,8441.5,78
12011814,8441.5,8441.75,8440.75,8441.75,134
12011815,8441.75,8443.25,8441.25,8442.0,160
12011816,8442,8444.75,8441.75,8444.0,211
12011817,8444,8445.25,8443.75,8445.0,136
12011818,8445,8445.75,8444.5,8445.5,91
12011819,8445.5,8446.5,8445.25,8446.25,135
12011820,8446.25,8450,8446.25,8448.75,517
12011821,8448.75,8448.75,8447.25,8448.0,173
12011822,8448,8448.75,8445.25,8445.75,191
12011823,8445.75,8446,8444.5,8444.5,111
12011824,8444.5,8445.5,8444.0,8445.0,80
12011825,8445,8445.5,8444.5,8445.25,75
12011826,8445.25,8445.25,8444.25,8444.75,49
12011827,8444.75,8445.5,8444.25,8445.25,45
12011828,8445.25,8446,8444.75,8445.75,41
12011829,8445.75,8447.75,8445.75,8447.25,206
12011830,8447.25,8449,8446.5,8448.75,116
12011831,8448.75,8449.5,8448.75,8448.75,84
12011832,8448.75,8449.25,8446.5,8446.5,133
12011833,8446.5,8447.75,8446.25,8447.5,82
12011834,8447.5,8448,8447.25,8447.5,46
12011835,8447.5,8447.75,8446.0,8446.0,56
12011836,8446,8447,8446.0,8447.0,43
12011837,8447,8447.25,8446.75,8446.75,27
12011838,8446.75,8447.5,8446.75,8446.75,24
12011839,8446.75,8447,8446.25,8446.25,31
12011840,8446.25,8447,8445.5,8446.25,68
